run_id,electricity_demand_multiplier_tx,natural_gas_price_west_south_central,battery_capcost,battery_capcost_energy,coal_igcc_capcost,coal_igcc_fom,coal_igcc_vom,coal_new_capcost,coal_new_fom,coal_new_vom,coal_ccs_capcost,coal_ccs_fom,coal_ccs_vom,coal_ccs_heatrate,csp_capcost,csp_fom,csp_vom,gas_cc_capcost,gas_cc_fom,gas_cc_vom,gas_cc_heatrate,gas_ccs_capcost,gas_ccs_fom,gas_ccs_vom,gas_ccs_heatrate,nuclear_capcost,nuclear_fom,nuclear_vom,cf_mult_shared_offshore_wind_fixed_and_floating,offshore_wind_fixed_overnight_cap_cost,offshore_wind_fixed_fixed_oandm,offshore_wind_floating_overnight_cap_cost,offshore_wind_floating_fixed_oandm,onshore_wind_cf_mult,onshore_wind_overnight_cap_cost_kw,onshore_wind_fixed_oandm_kw_yr,upv_capcost,upv_fom,upv_cf_improvement,trajectory,step,changed_factor
27,1.00854,1.11522,0.97888,1.1687400000000001,0.99442,0.9724,1.00588,1.0058399999999998,0.9863,1.00336,1.01962,1.028,0.9572799999999999,1.059,0.94588,1.13548,1.286,1.0277,0.99088,0.9937,1.00544,1.07518,1.0285,1.02296,0.955,1.4511,1.1657,1.0000200000000001,1.0348,0.9998,1.0466000000000002,1.3229600000000001,1.0768199999999999,0.9972199999999999,1.1495,0.97384,1.1781,1.1332,0.939,0,27,battery_capcost_energy
28,1.00854,1.7787,0.97888,1.1687400000000001,0.99442,0.9724,1.00588,1.0058399999999998,0.9863,1.00336,1.01962,1.028,0.9572799999999999,1.059,0.94588,1.13548,1.286,1.0277,0.99088,0.9937,1.00544,1.07518,1.0285,1.02296,0.955,1.4511,1.1657,1.0000200000000001,1.0348,0.9998,1.0466000000000002,1.3229600000000001,1.0768199999999999,0.9972199999999999,1.1495,0.97384,1.1781,1.1332,0.939,0,28,natural_gas_price_west_south_central
29,1.00854,1.7787,0.97888,1.1687400000000001,0.99442,0.9724,1.00588,1.0058399999999998,0.9863,1.00336,1.01962,1.028,0.9572799999999999,1.059,1.3946200000000002,1.13548,1.286,1.0277,0.99088,0.9937,1.00544,1.07518,1.0285,1.02296,0.955,1.4511,1.1657,1.0000200000000001,1.0348,0.9998,1.0466000000000002,1.3229600000000001,1.0768199999999999,0.9972199999999999,1.1495,0.97384,1.1781,1.1332,0.939,0,29,csp_capcost
30,1.00854,1.7787,0.97888,1.1687400000000001,1.0297,0.9724,1.00588,1.0058399999999998,0.9863,1.00336,1.01962,1.028,0.9572799999999999,1.059,1.3946200000000002,1.13548,1.286,1.0277,0.99088,0.9937,1.00544,1.07518,1.0285,1.02296,0.955,1.4511,1.1657,1.0000200000000001,1.0348,0.9998,1.0466000000000002,1.3229600000000001,1.0768199999999999,0.9972199999999999,1.1495,0.97384,1.1781,1.1332,0.939,0,30,coal_igcc_capcost
31,1.00854,1.7787,0.97888,1.1687400000000001,1.0297,0.9724,1.00588,1.0058399999999998,0.9863,1.00336,1.01962,1.028,0.9572799999999999,1.059,1.3946200000000002,1.13548,1.286,1.0277,0.99088,0.9937,1.00544,1.07518,1.0285,1.02296,0.955,1.4511,1.1657,1.0000200000000001,1.0348,1.3223,1.0466000000000002,1.3229600000000001,1.0768199999999999,0.9972199999999999,1.1495,0.97384,1.1781,1.1332,0.939,0,31,offshore_wind_fixed_overnight_cap_cost
32,1.00854,1.7787,0.97888,1.1687400000000001,1.0297,0.9724,1.00588,1.0058399999999998,0.9863,1.00336,1.01962,1.028,0.9572799999999999,1.059,1.3946200000000002,1.13548,1.286,1.0277,0.99088,0.9937,1.00544,1.07518,1.0285,1.02296,0.955,1.4511,1.1657,1.0000200000000001,1.0348,1.3223,1.0466000000000002,1.3229600000000001,1.0768199999999999,0.9972199999999999,1.1495,0.97384,1.1781,1.1332,1.00308,0,32,upv_cf_improvement
33,1.00854,1.7787,0.97888,1.1687400000000001,1.0297,0.9724,1.00588,1.0058399999999998,0.9863,1.00336,1.01962,1.028,0.9572799999999999,1.059,1.3946200000000002,1.13548,1.286,1.0277,0.99088,1.0327,1.00544,1.07518,1.0285,1.02296,0.955,1.4511,1.1657,1.0000200000000001,1.0348,1.3223,1.0466000000000002,1.3229600000000001,1.0768199999999999,0.9972199999999999,1.1495,0.97384,1.1781,1.1332,1.00308,0,33,gas_cc_vom
34,1.00854,1.7787,0.97888,1.1687400000000001,1.0297,0.9724,1.00588,1.0058399999999998,0.9863,1.00336,1.01962,1.028,0.9572799999999999,1.059,1.3946200000000002,1.13548,1.286,1.0277,1.0522,1.0327,1.00544,1.07518,1.0285,1.02296,0.955,1.4511,1.1657,1.0000200000000001,1.0348,1.3223,1.0466000000000002,1.3229600000000001,1.0768199999999999,0.9972199999999999,1.1495,0.97384,1.1781,1.1332,1.00308,0,34,gas_cc_fom
35,1.00854,1.7787,0.97888,1.1687400000000001,1.0297,0.9724,1.00588,1.0058399999999998,1.0139,1.00336,1.01962,1.028,0.9572799999999999,1.059,1.3946200000000002,1.13548,1.286,1.0277,1.0522,1.0327,1.00544,1.07518,1.0285,1.02296,0.955,1.4511,1.1657,1.0000200000000001,1.0348,1.3223,1.0466000000000002,1.3229600000000001,1.0768199999999999,0.9972199999999999,1.1495,0.97384,1.1781,1.1332,1.00308,0,35,coal_new_fom
36,1.00854,1.7787,0.97888,1.1687400000000001,1.0297,0.9724,1.00588,1.0058399999999998,1.0139,1.00336,1.01962,1.028,0.9572799999999999,1.059,1.3946200000000002,1.13548,1.286,1.0277,1.0522,1.0327,1.00544,1.07518,1.0285,1.02296,1.009,1.4511,1.1657,1.0000200000000001,1.0348,1.3223,1.0466000000000002,1.3229600000000001,1.0768199999999999,0.9972199999999999,1.1495,0.97384,1.1781,1.1332,1.00308,0,36,gas_ccs_heatrate
